id,Make,Driver,Manager,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Charging Cost,Maintenance Cost,Date,Range,Month
44,Hyundai Ioniq 5,Alice,Vikram,2.16,185,338.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-02-08,376.05,2
45,Citroen eC3,Fiona,Maya,0.0,110,136.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-07,151.13,4
46,Honda Clarity EV,George,Sneha,2.22,180,372.3,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-04,413.72,7
47,Maruti Jimny EV,Bob,Ananya,2.14,140,178.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-15,198.36,1
48,Citroen eC3,Bob,Maya,0.91,110,132.3,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-01-10,147.02,1
49,Citroen eC3,Alice,Maya,1.82,110,131.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-18,146.24,11
50,Honda Clarity EV,Ivan,Sneha,0.0,180,367.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-06-17,408.27,6
51,Citroen eC3,Julia,Maya,4.55,110,130.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-30,145.13,11
52,Citroen eC3,Fiona,Maya,0.91,110,130.8,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-17,145.35,4
53,Nissan ARIYA,Ivan,Ramesh,1.25,160,282.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-16,314.37,10
54,Honda Clarity EV,Charlie,Sneha,0.56,180,369.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-06-01,410.16,6
55,Nissan ARIYA,Ethan,Ramesh,3.12,160,279.6,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-05-19,310.7,5
56,Honda Clarity EV,Hannah,Sneha,0.56,180,371.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-04-15,412.27,4
57,Honda Clarity EV,Julia,Sneha,2.78,180,345.8,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-07,384.27,8
58,Maruti Jimny EV,Ethan,Ananya,2.14,140,170.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-06-02,189.25,6
59,Maruti Jimny EV,Julia,Ananya,2.86,140,177.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-03,197.36,2
60,Citroen eC3,Fiona,Maya,3.64,110,131.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-14,145.57,11
61,Nissan ARIYA,Julia,Ramesh,2.5,160,280.3,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-02-19,311.48,2
62,Maruti Jimny EV,Julia,Ananya,3.57,140,188.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-11-09,209.8,11
63,Honda Clarity EV,Ethan,Sneha,2.78,180,348.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-03-23,386.83,3
64,Maruti Jimny EV,Charlie,Ananya,0.71,140,180.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-29,200.58,12
65,Nissan ARIYA,Bob,Ramesh,0.0,160,277.6,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-04-20,308.48,4
66,Citroen eC3,Charlie,Maya,4.55,110,132.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-22,147.68,4
67,Nissan ARIYA,Bob,Ramesh,2.5,160,280.0,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-05-07,311.15,5
68,Citroen eC3,Ethan,Maya,0.91,110,133.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-07,148.8,10
69,Maruti Jimny EV,Fiona,Ananya,0.71,140,184.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-10-20,204.91,10
70,Honda Clarity EV,Fiona,Sneha,1.67,180,378.9,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-01-02,421.05,1
71,Honda Clarity EV,Alice,Sneha,1.67,180,362.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-11-12,402.27,11
72,Citroen eC3,Julia,Maya,2.73,110,125.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-18,139.91,10
73,Honda Clarity EV,Diana,Sneha,1.67,180,350.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-11,389.05,8
74,Hyundai Ioniq 5,Charlie,Vikram,1.62,185,359.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-12,398.94,3
75,Nissan ARIYA,Alice,Ramesh,0.0,160,283.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-06-22,314.59,6
76,Honda Clarity EV,Alice,Sneha,2.22,180,353.0,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-06-18,392.27,6
77,Nissan ARIYA,Fiona,Ramesh,3.12,160,278.4,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-09-16,309.37,9
78,Hyundai Ioniq 5,Bob,Vikram,1.08,185,361.5,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-10-17,401.72,10
79,Hyundai Ioniq 5,Julia,Vikram,0.0,185,354.6,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-11-17,394.05,11
80,Nissan ARIYA,Diana,Ramesh,0.62,160,280.5,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-29,311.7,7
81,Honda Clarity EV,Charlie,Sneha,1.67,180,374.4,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-11-10,416.05,11
82,Hyundai Ioniq 5,Alice,Vikram,2.7,185,363.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-26,403.6,4
83,Honda Clarity EV,George,Sneha,1.11,180,363.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-21,404.16,5
84,Citroen eC3,Ivan,Maya,1.82,110,138.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-10,153.35,5
85,Citroen eC3,Diana,Maya,2.73,110,126.7,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-30,140.79,4
86,Honda Clarity EV,Diana,Sneha,2.78,180,343.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-09-15,381.94,9
87,Nissan ARIYA,Diana,Ramesh,3.12,160,280.2,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-13,311.37,7
88,Hyundai Ioniq 5,Bob,Vikram,1.62,185,330.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-08,366.71,4
89,Honda Clarity EV,Charlie,Sneha,1.67,180,350.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-31,389.16,5
90,Hyundai Ioniq 5,Ethan,Vikram,0.54,185,334.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-09-12,371.6,9
91,Citroen eC3,Alice,Maya,0.91,110,133.0,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-07-27,147.8,7
92,Citroen eC3,George,Maya,0.91,110,127.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-06-03,142.13,6
93,Honda Clarity EV,Ivan,Sneha,2.22,180,374.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-04,415.72,8
94,Maruti Jimny EV,Julia,Ananya,2.86,140,185.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-09-13,205.91,9
95,Hyundai Ioniq 5,Ivan,Vikram,2.16,185,333.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-06-19,370.82,6
96,Hyundai Ioniq 5,Ivan,Vikram,0.0,185,345.4,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-04,383.82,4
97,Hyundai Ioniq 5,Alice,Vikram,0.0,185,366.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-12-11,406.94,12
98,Honda Clarity EV,Julia,Sneha,0.56,180,367.5,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-06,408.38,8
99,Maruti Jimny EV,Hannah,Ananya,0.0,140,190.0,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-04,211.14,8
100,Citroen eC3,Charlie,Maya,2.73,110,127.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-08-19,142.13,8
101,Maruti Jimny EV,Alice,Ananya,3.57,140,182.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-04-02,202.47,4
102,Nissan ARIYA,Diana,Ramesh,1.25,160,270.2,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-20,300.26,10
103,Maruti Jimny EV,Bob,Ananya,0.0,140,183.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-19,203.8,2
104,Honda Clarity EV,Charlie,Sneha,1.11,180,376.2,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-08-28,418.05,8
105,Hyundai Ioniq 5,Charlie,Vikram,2.16,185,362.2,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-05-24,402.49,5
106,Honda Clarity EV,George,Sneha,1.11,180,342.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-02-08,380.82,2
107,Maruti Jimny EV,Bob,Ananya,0.71,140,173.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-04-16,192.91,4
108,Maruti Jimny EV,Fiona,Ananya,1.43,140,182.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-12-23,202.91,12
109,Citroen eC3,Charlie,Maya,2.73,110,132.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-07-20,147.35,7
110,Maruti Jimny EV,Charlie,Ananya,2.86,140,187.2,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-07-19,208.03,7
111,Maruti Jimny EV,Diana,Ananya,2.14,140,178.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-25,197.91,8
112,Maruti Jimny EV,George,Ananya,3.57,140,176.1,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-02-27,195.69,2
113,Honda Clarity EV,Ethan,Sneha,2.22,180,358.3,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-11-08,398.16,11
114,Hyundai Ioniq 5,George,Vikram,1.62,185,351.6,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-03,390.71,3
115,Nissan ARIYA,Julia,Ramesh,0.0,160,276.7,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-06-15,307.48,6
116,Hyundai Ioniq 5,Charlie,Vikram,1.08,185,360.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-01-11,400.83,1
117,Nissan ARIYA,George,Ramesh,1.25,160,297.7,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-03-16,330.82,3
118,Hyundai Ioniq 5,Ethan,Vikram,2.16,185,345.3,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-05-05,383.71,5
119,Nissan ARIYA,Ethan,Ramesh,1.25,160,290.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-01-13,323.26,1
120,Nissan ARIYA,Diana,Ramesh,1.88,160,281.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-02-16,312.37,2
121,Hyundai Ioniq 5,Ethan,Vikram,0.54,185,344.8,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-08-05,383.16,8
122,Hyundai Ioniq 5,Ivan,Vikram,1.62,185,338.9,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-03,376.6,3
123,Citroen eC3,Fiona,Maya,1.82,110,136.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-06-24,151.24,6
124,Nissan ARIYA,Diana,Ramesh,0.0,160,286.3,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-09-29,318.15,9
125,Citroen eC3,Ethan,Maya,2.73,110,131.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-09-22,145.68,9
126,Citroen eC3,Fiona,Maya,0.0,110,126.1,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-25,140.13,5
127,Maruti Jimny EV,Fiona,Ananya,2.86,140,172.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-01-12,191.47,1
128,Citroen eC3,Fiona,Maya,0.0,110,136.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-28,151.57,4
129,Nissan ARIYA,George,Ramesh,1.25,160,273.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-12-13,303.48,12
130,Nissan ARIYA,Charlie,Ramesh,2.5,160,288.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-10-01,320.15,10
131,Hyundai Ioniq 5,Hannah,Vikram,1.08,185,337.8,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-04-15,375.38,4
132,Honda Clarity EV,Bob,Sneha,0.56,180,376.8,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-05-14,418.72,5
133,Maruti Jimny EV,Charlie,Ananya,2.86,140,187.7,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-24,208.58,8
134,Honda Clarity EV,Julia,Sneha,2.22,180,365.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-06-29,406.38,6
135,Nissan ARIYA,Ivan,Ramesh,0.62,160,275.5,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-08-08,306.15,8
136,Citroen eC3,Julia,Maya,0.91,110,130.9,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-03-08,145.46,3
137,Citroen eC3,Fiona,Maya,4.55,110,127.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-12-08,141.57,12
138,Nissan ARIYA,Alice,Ramesh,0.62,160,288.9,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-01-04,321.04,1
139,Honda Clarity EV,Julia,Sneha,1.67,180,344.6,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-10-22,382.94,10
140,Citroen eC3,Bob,Maya,0.0,110,125.3,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-10-09,139.24,10
141,Citroen eC3,Julia,Maya,3.64,110,134.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-11,149.35,5
142,Hyundai Ioniq 5,George,Vikram,0.0,185,352.1,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-01-10,391.27,1
143,Maruti Jimny EV,Charlie,Ananya,2.14,140,176.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-05-17,196.14,5
144,Citroen eC3,George,Maya,4.55,110,131.3,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-02-26,145.91,2
145,Honda Clarity EV,Bob,Sneha,0.56,180,344.1,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-11-22,382.38,11
146,Citroen eC3,George,Maya,3.64,110,136.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-06-02,151.8,6
147,Citroen eC3,Fiona,Maya,2.73,110,126.3,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-05-27,140.35,5
148,Maruti Jimny EV,Hannah,Ananya,0.0,140,184.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-08-22,205.14,8
149,Hyundai Ioniq 5,Charlie,Vikram,2.7,185,329.0,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-25,365.6,3
150,Maruti Jimny EV,George,Ananya,2.14,140,184.4,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-11-03,204.91,11
151,Maruti Jimny EV,George,Ananya,0.0,140,174.8,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-15,194.25,3
152,Hyundai Ioniq 5,George,Vikram,2.7,185,342.3,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-01-18,380.38,1
153,Honda Clarity EV,Ethan,Sneha,0.0,180,344.7,240,400,Rear,80.0,4895,1870,1490,2760,2100,450,470,5,12.0,120,2023-07-25,383.05,7
154,Maruti Jimny EV,Hannah,Ananya,2.14,140,183.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-07-03,204.02,7
155,Nissan ARIYA,Bob,Ramesh,1.25,160,273.1,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-07-04,303.48,7
156,Hyundai Ioniq 5,Ivan,Vikram,2.16,185,335.3,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-03-26,372.6,3
157,Nissan ARIYA,George,Ramesh,2.5,160,290.0,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-05-11,322.26,5
158,Maruti Jimny EV,Alice,Ananya,3.57,140,173.6,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-03-13,192.91,3
159,Maruti Jimny EV,Hannah,Ananya,3.57,140,182.5,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-10-31,202.8,10
160,Maruti Jimny EV,Diana,Ananya,0.71,140,176.3,200,300,AWD,40.0,3985,1645,1720,2590,1450,400,220,4,6.0,75,2023-10-21,195.91,10
161,Citroen eC3,Ethan,Maya,0.91,110,126.6,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-04-30,140.68,4
162,Nissan ARIYA,Bob,Ramesh,1.25,160,280.2,290,450,AWD,63.0,4595,1850,1660,2775,1980,480,466,5,9.45,100,2023-08-13,311.37,8
163,Citroen eC3,Julia,Maya,3.64,110,138.4,90,200,Front,29.2,3981,1733,1585,2540,1360,350,315,5,4.38,80,2023-11-01,153.8,11
164,Hyundai Ioniq 5,Fiona,Vikram,0.54,185,332.7,320,605,Rear,77.4,4635,1890,1605,3000,2200,500,531,5,11.61,130,2023-12-20,369.71,12
